id	sex	X10KW	KC	CD	CL	CW	TKW
33-16	1	1.98499999999994	158.237777395	21.3316666674998	105.973583332502	10.9116666667502	30.4716666675012
38-11	1	1.95875	163.811162375	23.21025	122.325625000001	13.94375	32.7750000000001
4226	1	1.88645592729949	297.844383190317	21.9230076873253	131.067730595577	13.7797216563657	57.345426888838
4722	1	1.33188352604007	186.986017161185	20.4853116838376	127.387379135926	13.409926088128	25.81577202099
796	1	2.54833333324999	249.162917575	22.864	108.740666675001	12.946666665	63.3800000000002
81-1	1	2.22835402211935	48.3448270512066	16.2693759848616	100.835618111587	7.00581261016007	14.1034566584706
A214N	1	2.3924908199906	136.705040072747	19.2804376082557	144.659668702749	10.5913617182594	33.6998683052586
A239	1	2.4206322181015	136.170082929049	22.7093102680241	100.56714151327	9.57750170090272	31.2303860034862
A272	1	1.88063221810151	23.5257564790477	14.217310268024	106.479141513271	5.8375017009027	-0.689613996514304
A441-5	1	2.87041666675	117.245522885	22.0559166675	98.4270416750006	13.0687499999999	32.7066666675
A554	1	1.90499999999999	236.016068299999	21.855	100.495500000001	11.475	45.3350000000002
A556	1	2.5152168593734	167.523656594519	20.7961450171709	106.577934702592	12.4515927547947	40.9602164643231
A6	1	2.47249081999063	172.720696022747	26.4164376082557	130.263668702749	18.5638617182595	44.3473683052588
A619	1	2.31578008744674	206.029447007153	28.2153540792491	131.323459245482	15.4130423070742	47.1690997734756
A632	1	2.06588045921368	223.687896341343	22.0982709929214	112.791653223019	11.261198838432	45.3041457633637
A634	1	2.45673246844673	155.406529077154	22.8865921759157	114.754125912149	12.6920899260744	35.5881473934759
A635	1	1.65874999999999	196.433036725001	19.1752500000001	121.947250000001	8.39875000000011	31.7225000000003
A641	1	2.55833333324999	137.649638424998	23.4395	111.065333332501	11.6883333332502	35.5650000000009
A654	1	2.43350457976976	183.212452497491	22.8502513553701	111.962909077893	11.5230474071966	47.5010256433024
A659	1	2.29800230978007	127.209031870485	25.5234651892491	102.017681468814	14.6708200837409	30.8402108834752
A661	1	2.015	246.627797895	25.258	118.367000000001	18.3549999999999	50.1849999999998
A679	1	1.96499999999999	415.884413200001	25.8985	138.377500000001	19.85	83.1799999999999
A680	1	1.93249999999998	326.776393549998	24.7303749999999	124.080500000001	15.5387499999999	60.8224999999998
A682	1	2.99254712588034	235.623636641345	21.0069376595881	153.023653223019	15.4678655050987	72.8374790966973
AB28A	1	2.66911342078006	81.3703104371537	22.0033540792491	108.014792578815	14.5530423070742	22.2024331068086
B10	1	2.82743908170675	116.105686351186	24.8372561271709	135.145934702592	21.4004816447946	31.8168831309897
B104	1	2.57125	250.491322125001	26.2107500000001	118.484500000001	19.10875	62.2525000000002
B105	1	2.15999999999999	176.6718480525	23.946	125.958000000001	13.125	41.9500000000003
B109	1	2.34499999999999	278.457921424999	24.145	124.457500000001	14.08	64.5600000000003
B115	1	2.644213792547	80.8704797113445	20.8469376595881	115.304319889685	12.4161988384319	21.8841457633634
B14A	1	2.66708333324999	155.636630915	21.4583333325	147.445041675	16.1599999999999	41.7233333325001
B164	1	1.95833333325	269.18558245	20.8713333325	136.846000000001	12.3016666667501	52.4983333325002
B2	1	2.78978926063283	133.993598146984	23.7627299106587	116.084619495577	22.7691660996991	38.4282046655049
B37	1	2.49125	138.8745817175	21.6411666675	112.279625000001	14.3579166675001	33.9812500000002
B46	1	2.38999999999999	197.78519555	23.9425	143.089375000001	18.8000000000001	48.1950000000001
B52	1	2.08063221810149	167.001135229049	24.580643598024	163.129141513272	22.212501700903	34.135386003486
B57	1	2.53124999999999	243.1268569	26.50575	121.155875000001	19.72875	61.6312499999998
B64	1	2.30999999999999	162.002608532499	20.94275	127.961500000001	15.3575	39.0525
B68	1	2.28124999999999	143.863440442501	23.244125	135.07475	15.9949999999999	35.0562500000002
B73HTRHM	1	1.92999999999999	286.887802675	27.6035	123.227500000001	17.07	55.3650000000002
B75	1	2.69499999999999	209.397884399998	23.66625	114.655875000001	15.125	57.8200000000005
B76	1	2.675	179.00701225	24.919125	122.351750000001	16.2	48.5450000000001
B77	1	1.965	252.935564700001	21.7025	133.952500000001	8.58499999999996	49.17
B79	1	2.36999999999999	181.809303875	26.291875	108.205000000001	13.7825	42.7762500000003
B84	1	2.265	194.880831175	24.014	116.891000000001	16.135	45.5550000000002
B97	1	2.8	244.475179625001	22.855	126.401500000001	14.815	68.8400000000001
C103	1	2.4306322181015	149.707574629048	19.099810268024	131.774141513271	12.6375017009028	35.085386003486
C49	1	1.6806322181015	42.8136352690491	22.5306435980242	65.8391415132712	6.97083503390279	2.77705267048642
C49A	1	1.7806322181015	60.6469685990479	20.157310268024	74.0591415132702	5.83750170090274	6.91038600348571
CH701-30	1	2.25921379254701	246.456553074677	19.5961043262547	127.210819889685	10.5378655050987	54.3391457633633
CH9	1	2.44333333324999	147.0762598	24.824	99.6165000000007	13.40166666675	36.0400000000002
CI187-2	1	2.34088045921367	140.295366508011	22.2076043262547	112.446653223019	10.336198838432	33.3958124300302
CI21E	1	2.53624999999999	167.477347672501	26.332875	119.604250000001	15.35875	43.5050000000002
CI28A	1	2.54999999999999	149.946477875	23.011	108.761500000001	15.65	37.8750000000001
CI31A	1	2.18978926063283	79.2792001003174	20.7517299106587	85.8014528289107	7.04583276636575	18.5232046655047
CI3A	1	2.19578008744674	238.842884073821	27.5353540792491	108.281459245481	15.919708973741	52.3490997734757
CI44	1	1.9725	188.61576227	25.5735	96.3365000000008	10.415	40.0525000000001
